modifieddate,nombre,sinopsis,emision,fechasalida,image,categoria__nombre,genero__nombre,cantidadepisodios,promedio_puntuaciones_imdb,linkimdb
2024-07-07,Rave Master,"Haru Glory is a boy who lives with his sister, Cattleya, in Garage Island. After fishing out a thing called Plue, he meets Shiba who entrusted him with Rave Stone or more known as Holy Bring. From there on, he embarks on a quest leaving his sister at Garage Island like his father... ",False,2001-10-01,portada/2022/11/25/Rave_Master_MID.jpg,Anime,Shounen,51,6.8,https://www.imdb.com/title/tt0414763/
2024-07-07,RDG Red Data Girl,"A modern fantasy based on Japanese Shinto legends. Suzuhara Izumiko is a 15-year-old girl, who has been raised and protected in a shrine deep in the Kumano mountains. She is quite shy and destroys all the electric devices she touches. When she begins to think about going out of t... ",False,2013-03-01,portada/2022/11/25/RDG_Red_Data_Girl_MID.bmp,Anime,Magic,12,6.1,https://www.imdb.com/title/tt2622990/
2024-07-07,RDG Red Data Girl,"A modern fantasy based on Japanese Shinto legends. Suzuhara Izumiko is a 15-year-old girl, who has been raised and protected in a shrine deep in the Kumano mountains. She is quite shy and destroys all the electric devices she touches. When she begins to think about going out of t... ",False,2013-03-01,portada/2022/11/25/RDG_Red_Data_Girl_MID.bmp,Anime,Romance,12,6.1,https://www.imdb.com/title/tt2622990/
2024-07-07,RDG Red Data Girl,"A modern fantasy based on Japanese Shinto legends. Suzuhara Izumiko is a 15-year-old girl, who has been raised and protected in a shrine deep in the Kumano mountains. She is quite shy and destroys all the electric devices she touches. When she begins to think about going out of t... ",False,2013-03-01,portada/2022/11/25/RDG_Red_Data_Girl_MID.bmp,Anime,Fantasy,12,6.1,https://www.imdb.com/title/tt2622990/
2024-07-07,Re Creators,"Sota Mizushino is transported to his favorite anime. A strange villain appears, then Sota returns with the anime's heroine. More fictional characters appear in Tokyo. Why do these characters connect?",False,2017-04-01,portada/2022/11/25/Re_Creators_MID.jpg,Anime,Action,22,6.9,https://www.imdb.com/title/tt6755926/
2024-07-07,Re Zero kara Hajimeru Isekai Seikatsu,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.",False,2016-04-01,portada/2022/11/25/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_MID.jpg,Anime,Psychologic,40,8.0,https://www.imdb.com/title/tt5607616/
2024-07-07,Re Zero kara Hajimeru Isekai Seikatsu,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.",False,2016-04-01,portada/2022/11/25/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_MID.jpg,Anime,Suspense,40,8.0,https://www.imdb.com/title/tt5607616/
2024-07-07,Re Zero kara Hajimeru Isekai Seikatsu,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.",False,2016-04-01,portada/2022/11/25/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_MID.jpg,Anime,Fantasy,40,8.0,https://www.imdb.com/title/tt5607616/
2024-07-07,Re Zero kara Hajimeru Isekai Seikatsu,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself.",False,2016-04-01,portada/2022/11/25/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_MID.jpg,Anime,Drama,40,8.0,https://www.imdb.com/title/tt5607616/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Action,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Adventure,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Science Fiction,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Mystery,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Comedy,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Read or Die,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.",False,2003-09-01,portada/2023/10/10/Read_or_Die.jpg,Anime,Drama,29,7.5,https://www.imdb.com/title/tt0425710/
2024-07-07,Real Drive,"In the near future, social media, security, administrative and communication systems have been replaced with Meta Real Network or ""Metal"" for short, a VR network. Cyber Divers, a special police unit, deal with those who abuse this network.",False,2008-04-01,portada/2022/11/25/Real_Drive_MID.jpg,Anime,Action,26,6.6,https://www.imdb.com/title/tt1213889/
2024-07-07,Real Drive,"In the near future, social media, security, administrative and communication systems have been replaced with Meta Real Network or ""Metal"" for short, a VR network. Cyber Divers, a special police unit, deal with those who abuse this network.",False,2008-04-01,portada/2022/11/25/Real_Drive_MID.jpg,Anime,Science Fiction,26,6.6,https://www.imdb.com/title/tt1213889/
